REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE
District of Columbia,2011,6,29,48.28
Florida,2011,6,X,X
New York,2011,6,1013,27.05
Texas,2011,6,1508,32.69
New York City,2011,6,X,X
California,2011,7,510,28.43
District of Columbia,2011,7,37,37.84
Florida,2011,7,X,X
New York,2011,7,1136,30.37
Texas,2011,7,1739,36.8
New York City,2011,7,X,X
California,2011,8,412,23.79
District of Columbia,2011,8,33,39.39
Florida,2011,8,X,X
New York,2011,8,1139,27.3
Texas,2011,8,1373,24.33
New York City,2011,8,X,X
California,2011,9,437,21.05
District of Columbia,2011,9,15,46.67
Florida,2011,9,X,X
New York,2011,9,983,25.43
Texas,2011,9,1046,18.26
New York City,2011,9,X,X
California,2011,10,394,21.07
District of Columbia,2011,10,11,63.64
Florida,2011,10,X,X
New York,2011,10,893,20.6
Texas,2011,10,879,11.26
New York City,2011,10,X,X
California,2011,11,344,16.57
District of Columbia,2011,11,15,40
Florida,2011,11,X,X
New York,2011,11,858,16.67
Texas,2011,11,550,6.55
New York City,2011,11,X,X
California,2011,12,245,13.06
District of Columbia,2011,12,10,40
Florida,2011,12,X,X
New York,2011,12,732,18.58
Texas,2011,12,544,5.51
New York City,2011,12,X,X
California,2011,13,278,6.47
District of Columbia,2011,13,19,15.79
Florida,2011,13,X,X
New York,2011,13,615,16.26
Texas,2011,13,419,4.06
New York City,2011,13,X,X
California,2011,14,256,3.91
District of Columbia,2011,14,X,X
Florida,2011,14,X,X
New York,2011,14,632,12.5
Texas,2011,14,430,0.7
New York City,2011,14,X,X
California,2011,15,244,3.28
District of Columbia,2011,15,10,20
Florida,2011,15,X,X
New York,2011,15,561,9.98
Texas,2011,15,359,1.11
New York City,2011,15,X,X
California,2011,16,204,1.96
District of Columbia,2011,16,10,0
Florida,2011,16,X,X
New York,2011,16,432,6.02
Texas,2011,16,296,0.68
New York City,2011,16,X,X
California,2011,17,164,2.44
District of Columbia,2011,17,X,X
Florida,2011,17,X,X
New York,2011,17,294,5.44
Texas,2011,17,302,1.66
New York City,2011,17,X,X
California,2011,18,145,0
District of Columbia,2011,18,X,X
Florida,2011,18,X,X
New York,2011,18,323,1.24
Texas,2011,18,245,0.82
New York City,2011,18,X,X
California,2011,19,136,0.74
District of Columbia,2011,19,X,X
Florida,2011,19,X,X
New York,2011,19,239,0.84
Texas,2011,19,239,0
New York City,2011,19,X,X
California,2011,20,148,1.35
District of Columbia,2011,20,X,X
Florida,2011,20,X,X
New York,2011,20,307,0.33
Texas,2011,20,232,0
New York City,2011,20,X,X
California,2011,21,130,0
District of Columbia,2011,21,X,X
Florida,2011,21,X,X
New York,2011,21,221,0.9
Texas,2011,21,231,0
New York City,2011,21,X,X
California,2011,22,106,0.94
District of Columbia,2011,22,X,X
Florida,2011,22,X,X
New York,2011,22,207,0
Texas,2011,22,171,1.17
New York City,2011,22,X,X
California,2011,23,120,0
District of Columbia,2011,23,X,X
Florida,2011,23,X,X
New York,2011,23,188,0
Texas,2011,23,194,0
New York City,2011,23,X,X
California,2011,24,102,0
District of Columbia,2011,24,X,X
Florida,2011,24,X,X
New York,2011,24,153,0
Texas,2011,24,180,0
New York City,2011,24,X,X
California,2011,25,115,0
District of Columbia,2011,25,12,0
Florida,2011,25,X,X
New York,2011,25,170,0.59
Texas,2011,25,165,0
New York City,2011,25,X,X
California,2011,26,79,0
District of Columbia,2011,26,X,X
Florida,2011,26,X,X
New York,2011,26,127,0
Texas,2011,26,112,0
New York City,2011,26,X,X
California,2011,27,81,0
District of Columbia,2011,27,X,X
Florida,2011,27,X,X
New York,2011,27,128,0
Texas,2011,27,130,0.77
New York City,2011,27,X,X
California,2011,28,57,0
District of Columbia,2011,28,X,X
Florida,2011,28,X,X
New York,2011,28,126,0.79
Texas,2011,28,133,0
New York City,2011,28,X,X
California,2011,29,102,0
District of Columbia,2011,29,X,X
Florida,2011,29,X,X
New York,2011,29,122,1.64
Texas,2011,29,125,0
New York City,2011,29,X,X
California,2011,30,50,0
District of Columbia,2011,30,X,X
Florida,2011,30,X,X
New York,2011,30,90,1.11
Texas,2011,30,124,0
New York City,2011,30,X,X
California,2011,31,85,2.35
District of Columbia,2011,31,X,X
Florida,2011,31,X,X
New York,2011,31,123,0
Texas,2011,31,124,0
New York City,2011,31,X,X
California,2011,32,60,1.67
District of Columbia,2011,32,X,X
Florida,2011,32,X,X
New York,2011,32,129,0.78
Texas,2011,32,191,0.52
New York City,2011,32,X,X
California,2011,33,80,1.25
District of Columbia,2011,33,X,X
Florida,2011,33,X,X
New York,2011,33,49,0
Texas,2011,33,166,0
New York City,2011,33,X,X
California,2011,34,63,0
District of Columbia,2011,34,X,X
Florida,2011,34,X,X
New York,2011,34,121,0
Texas,2011,34,131,0
New York City,2011,34,X,X
California,2011,35,77,0
District of Columbia,2011,35,X,X
Florida,2011,35,X,X
New York,2011,35,119,0
Texas,2011,35,203,0
New York City,2011,35,X,X
California,2011,36,73,0
District of Columbia,2011,36,X,X
Florida,2011,36,X,X
New York,2011,36,56,0
Texas,2011,36,279,0
New York City,2011,36,X,X
California,2011,37,67,0
District of Columbia,2011,37,X,X
Florida,2011,37,X,X
New York,2011,37,157,0
Texas,2011,37,299,0.33
New York City,2011,37,X,X
California,2011,38,100,0
District of Columbia,2011,38,X,X
Florida,2011,38,X,X
New York,2011,38,158,0.63
Texas,2011,38,257,0
New York City,2011,38,X,X
California,2011,39,109,0
District of Columbia,2011,39,X,X
Florida,2011,39,X,X
New York,2011,39,253,0
Texas,2011,39,333,0
New York City,2011,39,X,X
California,2011,40,183,2.19
District of Columbia,2011,40,X,X
Florida,2011,40,X,X
New York,2011,40,223,0
Texas,2011,40,302,0.33
New York City,2011,40,X,X
California,2011,41,127,3.94
District of Columbia,2011,41,X,X
Florida,2011,41,X,X
New York,2011,41,301,0
Texas,2011,41,349,0
New York City,2011,41,X,X
California,2011,42,130,1.54
District of Columbia,2011,42,X,X
Florida,2011,42,X,X
New York,2011,42,328,0.3
Texas,2011,42,372,0.54
New York City,2011,42,X,X
California,2011,43,166,2.41
District of Columbia,2011,43,X,X
Florida,2011,43,X,X
New York,2011,43,314,0.32
Texas,2011,43,434,0
New York City,2011,43,X,X
California,2011,44,181,1.1
District of Columbia,2011,44,X,X
Florida,2011,44,X,X
New York,2011,44,334,0
Texas,2011,44,466,0.43
New York City,2011,44,X,X
California,2011,45,190,1.05
District of Columbia,2011,45,X,X
Florida,2011,45,X,X
New York,2011,45,373,0.27
Texas,2011,45,326,0
New York City,2011,45,X,X
California,2011,46,221,1.36
District of Columbia,2011,46,X,X
Florida,2011,46,X,X
New York,2011,46,405,0.74
Texas,2011,46,436,0
New York City,2011,46,X,X
California,2011,47,174,1.72
District of Columbia,2011,47,X,X
Florida,2011,47,X,X
New York,2011,47,379,0.26
Texas,2011,47,458,0.87
New York City,2011,47,X,X
California,2011,48,211,2.84
District of Columbia,2011,48,X,X
Florida,2011,48,X,X
New York,2011,48,416,0
Texas,2011,48,506,0
New York City,2011,48,X,X
California,2011,49,239,4.18
District of Columbia,2011,49,X,X
Florida,2011,49,X,X
New York,2011,49,227,0.44
Texas,2011,49,561,0.53
New York City,2011,49,X,X
California,2011,50,246,3.66
District of Columbia,2011,50,X,X
Florida,2011,50,X,X
New York,2011,50,205,0.98
Texas,2011,50,569,0.7
New York City,2011,50,X,X
California,2011,51,278,9.35
District of Columbia,2011,51,X,X
Florida,2011,51,X,X
New York,2011,51,259,1.16
Texas,2011,51,671,0.75
New York City,2011,51,X,X
California,2011,52,265,3.4
District of Columbia,2011,52,X,X
Florida,2011,52,X,X
New York,2011,52,277,0
Texas,2011,52,773,0.78
New York City,2011,52,X,X
California,2012,1,289,6.57
District of Columbia,2012,1,X,X
Florida,2012,1,X,X
New York,2012,1,263,0.76
Texas,2012,1,737,1.76
New York City,2012,1,X,X
California,2012,2,253,7.91
District of Columbia,2012,2,X,X
Florida,2012,2,X,X
New York,2012,2,290,1.38
Texas,2012,2,684,2.63
New York City,2012,2,X,X
California,2012,3,287,16.03
District of Columbia,2012,3,X,X
Florida,2012,3,X,X
New York,2012,3,262,3.44
Texas,2012,3,663,4.07
New York City,2012,3,X,X
California,2012,4,312,14.42
District of Columbia,2012,4,X,X
Florida,2012,4,X,X
New York,2012,4,260,1.54
Texas,2012,4,668,5.84
New York City,2012,4,X,X
California,2012,5,296,14.53
District of Columbia,2012,5,X,X
Florida,2012,5,X,X
New York,2012,5,296,5.41
Texas,2012,5,713,7.57
New York City,2012,5,X,X
California,2012,6,343,26.24
District of Columbia,2012,6,X,X
Florida,2012,6,X,X
New York,2012,6,295,2.71
Texas,2012,6,837,8.84
New York City,2012,6,X,X
California,2012,7,416,22.6
District of Columbia,2012,7,X,X
Florida,2012,7,X,X
New York,2012,7,310,12.58
Texas,2012,7,839,11.08
New York City,2012,7,X,X
California,2012,8,361,20.5
District of Columbia,2012,8,X,X
Florida,2012,8,X,X
New York,2012,8,273,8.42
Texas,2012,8,920,16.3
New York City,2012,8,X,X
California,2012,9,449,29.62
District of Columbia,2012,9,X,X
Florida,2012,9,X,X
New York,2012,9,322,13.04
Texas,2012,9,1032,17.25
New York City,2012,9,X,X
California,2012,10,384,20.83
District of Columbia,2012,10,X,X
Florida,2012,10,X,X
New York,2012,10,252,15.87
Texas,2012,10,883,20.5
New York City,2012,10,X,X
California,2012,11,425,25.41
District of Columbia,2012,11,X,X
Florida,2012,11,X,X
New York,2012,11,232,26.72
Texas,2012,11,820,16.71
New York City,2012,11,X,X
California,2012,12,426,27.93
District of Columbia,2012,12,X,X
Florida,2012,12,X,X
New York,2012,12,248,29.84
Texas,2012,12,632,14.87
New York City,2012,12,X,X
California,2012,13,390,22.82
District of Columbia,2012,13,X,X
Florida,2012,13,X,X
New York,2012,13,228,14.47
Texas,2012,13,747,11.11
New York City,2012,13,X,X
California,2012,14,358,27.37
District of Columbia,2012,14,X,X
Florida,2012,14,X,X
New York,2012,14,293,12.63
Texas,2012,14,627,9.73
New York City,2012,14,X,X
California,2012,15,300,19.33
District of Columbia,2012,15,X,X
Florida,2012,15,X,X
New York,2012,15,192,21.88
Texas,2012,15,496,7.66
New York City,2012,15,X,X
California,2012,16,263,23.19
District of Columbia,2012,16,X,X
Florida,2012,16,X,X
New York,2012,16,209,17.7
Texas,2012,16,600,6.33
New York City,2012,16,X,X
California,2012,17,215,8.84
District of Columbia,2012,17,X,X
Florida,2012,17,X,X
New York,2012,17,157,17.2
Texas,2012,17,442,4.75
New York City,2012,17,X,X
California,2012,18,171,11.11
District of Columbia,2012,18,X,X
Florida,2012,18,X,X
New York,2012,18,145,26.21
Texas,2012,18,386,4.15
New York City,2012,18,X,X
California,2012,19,165,4.24
District of Columbia,2012,19,X,X
Florida,2012,19,X,X
New York,2012,19,161,25.47
Texas,2012,19,307,2.28
New York City,2012,19,X,X
California,2012,20,169,6.51
District of Columbia,2012,20,X,X
Florida,2012,20,X,X
New York,2012,20,119,15.97
Texas,2012,20,264,1.89
New York City,2012,20,X,X
California,2012,21,136,1.47
District of Columbia,2012,21,X,X
Florida,2012,21,X,X
New York,2012,21,104,14.42
Texas,2012,21,309,3.24
New York City,2012,21,X,X
California,2012,22,136,0.74
District of Columbia,2012,22,X,X
Florida,2012,22,X,X
New York,2012,22,92,6.52
Texas,2012,22,249,2.41
New York City,2012,22,X,X
California,2012,23,134,1.49
District of Columbia,2012,23,X,X
Florida,2012,23,X,X
New York,2012,23,90,5.56
Texas,2012,23,228,2.19
New York City,2012,23,X,X
California,2012,24,137,1.46
District of Columbia,2012,24,X,X
Florida,2012,24,X,X
New York,2012,24,98,6.12
Texas,2012,24,203,2.46
New York City,2012,24,X,X
California,2012,25,123,5.69
District of Columbia,2012,25,X,X
Florida,2012,25,X,X
New York,2012,25,70,4.29
Texas,2012,25,215,2.33
New York City,2012,25,X,X
California,2012,26,121,0.83
District of Columbia,2012,26,X,X
Florida,2012,26,X,X
New York,2012,26,83,2.41
Texas,2012,26,169,0.59
New York City,2012,26,X,X
California,2012,27,88,1.14
District of Columbia,2012,27,X,X
Florida,2012,27,X,X
New York,2012,27,69,0
Texas,2012,27,184,0.54
New York City,2012,27,X,X
California,2012,28,90,1.11
District of Columbia,2012,28,X,X
Florida,2012,28,X,X
New York,2012,28,55,3.64
Texas,2012,28,199,1.51
New York City,2012,28,X,X
California,2012,29,109,0
District of Columbia,2012,29,X,X
Florida,2012,29,X,X
New York,2012,29,52,0
Texas,2012,29,207,0.97
New York City,2012,29,X,X
California,2012,30,97,0
District of Columbia,2012,30,X,X
Florida,2012,30,X,X
New York,2012,30,54,5.56
Texas,2012,30,186,0.54
New York City,2012,30,X,X
California,2012,31,76,0
District of Columbia,2012,31,X,X
Florida,2012,31,X,X
New York,2012,31,42,0
Texas,2012,31,199,1.51
New York City,2012,31,X,X
California,2012,32,95,4.21
District of Columbia,2012,32,X,X
Florida,2012,32,X,X
New York,2012,32,60,5
Texas,2012,32,232,1.72
New York City,2012,32,X,X
California,2012,33,113,0.88
District of Columbia,2012,33,X,X
Florida,2012,33,X,X
New York,2012,33,57,3.51
Texas,2012,33,247,0
New York City,2012,33,X,X
California,2012,34,101,2.97
District of Columbia,2012,34,X,X
Florida,2012,34,X,X
New York,2012,34,67,0
Texas,2012,34,269,1.86
New York City,2012,34,X,X
California,2012,35,107,3.74
District of Columbia,2012,35,X,X
Florida,2012,35,X,X
New York,2012,35,68,2.94
Texas,2012,35,259,0.39
New York City,2012,35,X,X
California,2012,36,133,4.51
District of Columbia,2012,36,X,X
Florida,2012,36,X,X
New York,2012,36,90,0
Texas,2012,36,290,0.34
New York City,2012,36,X,X
California,2012,37,173,0
District of Columbia,2012,37,X,X
Florida,2012,37,X,X
New York,2012,37,94,3.19
Texas,2012,37,387,0.78
New York City,2012,37,X,X
California,2012,38,152,0.66
District of Columbia,2012,38,X,X
Florida,2012,38,X,X
New York,2012,38,106,0.94
Texas,2012,38,410,1.71
New York City,2012,38,X,X
California,2012,39,143,1.4
District of Columbia,2012,39,X,X
Florida,2012,39,X,X
New York,2012,39,111,0
Texas,2012,39,378,1.06
New York City,2012,39,X,X
California,2012,40,205,2.44
District of Columbia,2012,40,X,X
Florida,2012,40,X,X
New York,2012,40,387,0.78
Texas,2012,40,417,5.04
New York City,2012,40,X,X
California,2012,41,193,0.52
District of Columbia,2012,41,X,X
Florida,2012,41,X,X
New York,2012,41,403,1.24
Texas,2012,41,455,3.52
New York City,2012,41,X,X
California,2012,42,168,0
District of Columbia,2012,42,X,X
Florida,2012,42,X,X
New York,2012,42,467,3.43
Texas,2012,42,473,4.44
New York City,2012,42,X,X
California,2012,43,168,2.38
District of Columbia,2012,43,X,X
Florida,2012,43,X,X
New York,2012,43,443,4.06
Texas,2012,43,390,5.13
New York City,2012,43,X,X
California,2012,44,239,0.84
District of Columbia,2012,44,X,X
Florida,2012,44,X,X
New York,2012,44,339,3.83
Texas,2012,44,552,6.88
New York City,2012,44,X,X
California,2012,45,273,1.47
District of Columbia,2012,45,X,X
Florida,2012,45,X,X
New York,2012,45,451,3.33
Texas,2012,45,679,10.31
New York City,2012,45,X,X
California,2012,46,247,3.64
District of Columbia,2012,46,X,X
Florida,2012,46,X,X
New York,2012,46,504,8.33
Texas,2012,46,763,10.62
New York City,2012,46,X,X
California,2012,47,226,3.1
District of Columbia,2012,47,X,X
Florida,2012,47,X,X
New York,2012,47,547,9.32
Texas,2012,47,800,19.63
New York City,2012,47,X,X
California,2012,48,258,4.26
District of Columbia,2012,48,X,X
Florida,2012,48,X,X
New York,2012,48,686,19.1
Texas,2012,48,1081,16.28
New York City,2012,48,X,X
California,2012,49,311,4.82
District of Columbia,2012,49,X,X
Florida,2012,49,X,X
New York,2012,49,932,20.6
Texas,2012,49,1228,20.28
New York City,2012,49,X,X
California,2012,50,369,5.15
District of Columbia,2012,50,X,X
Florida,2012,50,X,X
New York,2012,50,1376,29.65
Texas,2012,50,1593,24.54
New York City,2012,50,X,X
California,2012,51,377,6.37
District of Columbia,2012,51,X,X
Florida,2012,51,X,X
New York,2012,51,1750,40
Texas,2012,51,1967,30.2
New York City,2012,51,X,X
California,2012,52,453,9.93
District of Columbia,2012,52,X,X
Florida,2012,52,X,X
New York,2012,52,1850,35.46
Texas,2012,52,2111,33.96
New York City,2012,52,X,X
California,2013,1,562,13.52
District of Columbia,2013,1,X,X
Florida,2013,1,X,X
New York,2013,1,1989,31.42
Texas,2013,1,2481,29.71
New York City,2013,1,X,X
California,2013,2,650,18.31
District of Columbia,2013,2,X,X
Florida,2013,2,X,X
New York,2013,2,2460,30.16
Texas,2013,2,2727,31.21
New York City,2013,2,X,X
California,2013,3,836,19.74
District of Columbia,2013,3,X,X
Florida,2013,3,X,X
New York,2013,3,2782,23.87
Texas,2013,3,2443,31.35
New York City,2013,3,X,X
California,2013,4,956,37.55
District of Columbia,2013,4,X,X
Florida,2013,4,X,X
New York,2013,4,2134,19.31
Texas,2013,4,2422,28.03
New York City,2013,4,X,X
California,2013,5,981,36.09
District of Columbia,2013,5,X,X
Florida,2013,5,X,X
New York,2013,5,1893,18.75
Texas,2013,5,1766,24.18
New York City,2013,5,X,X
California,2013,6,912,26.43
District of Columbia,2013,6,X,X
Florida,2013,6,X,X
New York,2013,6,1455,16.84
Texas,2013,6,1389,20.37
New York City,2013,6,X,X
California,2013,7,808,18.94
District of Columbia,2013,7,15,53.33
Florida,2013,7,X,X
New York,2013,7,1285,17.67
Texas,2013,7,1084,11.62
New York City,2013,7,X,X
California,2013,8,698,20.63
District of Columbia,2013,8,11,90.91
Florida,2013,8,X,X
New York,2013,8,1148,18.64
Texas,2013,8,984,13.41
New York City,2013,8,X,X
California,2013,9,616,16.72
District of Columbia,2013,9,X,X
Florida,2013,9,X,X
New York,2013,9,1131,14.94
Texas,2013,9,892,12.44
New York City,2013,9,X,X
California,2013,10,575,14.43
District of Columbia,2013,10,X,X
Florida,2013,10,X,X
New York,2013,10,1008,14.68
Texas,2013,10,976,11.07
New York City,2013,10,X,X
California,2013,11,552,13.59
District of Columbia,2013,11,11,54.55
Florida,2013,11,X,X
New York,2013,11,1066,15.67
Texas,2013,11,812,9.36
New York City,2013,11,X,X
California,2013,12,423,9.22
District of Columbia,2013,12,X,X
Florida,2013,12,X,X
New York,2013,12,979,16.14
Texas,2013,12,764,6.54
New York City,2013,12,X,X
California,2013,13,354,7.06
District of Columbia,2013,13,X,X
Florida,2013,13,X,X
New York,2013,13,878,16.51
Texas,2013,13,609,5.58
New York City,2013,13,X,X
California,2013,14,353,4.25
District of Columbia,2013,14,X,X
Florida,2013,14,X,X
New York,2013,14,724,12.15
Texas,2013,14,579,5.87
New York City,2013,14,X,X
California,2013,15,273,0.37
District of Columbia,2013,15,X,X
Florida,2013,15,X,X
New York,2013,15,686,10.5
Texas,2013,15,575,3.65
New York City,2013,15,X,X
California,2013,16,247,5.67
District of Columbia,2013,16,X,X
Florida,2013,16,X,X
New York,2013,16,586,7.51
Texas,2013,16,554,2.53
New York City,2013,16,X,X
California,2013,17,231,3.46
District of Columbia,2013,17,X,X
Florida,2013,17,X,X
New York,2013,17,525,4.95
Texas,2013,17,496,0.81
New York City,2013,17,X,X
California,2013,18,235,1.28
District of Columbia,2013,18,10,50
Florida,2013,18,X,X
New York,2013,18,562,3.91
Texas,2013,18,473,0.85
New York City,2013,18,X,X
California,2013,19,243,3.7
District of Columbia,2013,19,X,X
Florida,2013,19,X,X
New York,2013,19,569,1.58
Texas,2013,19,428,1.17
New York City,2013,19,X,X
California,2013,20,215,0.47
District of Columbia,2013,20,X,X
Florida,2013,20,X,X
New York,2013,20,420,1.43
Texas,2013,20,360,0.28
New York City,2013,20,X,X
California,2013,21,196,0
District of Columbia,2013,21,X,X
Florida,2013,21,X,X
New York,2013,21,454,0.88
Texas,2013,21,304,0.33
New York City,2013,21,X,X
California,2013,22,204,0.49
District of Columbia,2013,22,X,X
Florida,2013,22,X,X
New York,2013,22,383,0.26
Texas,2013,22,291,1.37
New York City,2013,22,X,X
California,2013,23,177,0
District of Columbia,2013,23,X,X
Florida,2013,23,X,X
New York,2013,23,388,1.03
Texas,2013,23,320,1.56
New York City,2013,23,X,X
California,2013,24,153,0
District of Columbia,2013,24,X,X
Florida,2013,24,X,X
New York,2013,24,341,0.29
Texas,2013,24,277,1.08
New York City,2013,24,X,X
California,2013,25,190,0
District of Columbia,2013,25,X,X
Florida,2013,25,X,X
New York,2013,25,339,0.59
Texas,2013,25,384,0.52
New York City,2013,25,X,X
California,2013,26,178,0
District of Columbia,2013,26,X,X
Florida,2013,26,X,X
New York,2013,26,284,0
Texas,2013,26,402,0.25
New York City,2013,26,X,X
California,2013,27,137,0
District of Columbia,2013,27,X,X
Florida,2013,27,X,X
New York,2013,27,289,0.35
Texas,2013,27,210,0.95
New York City,2013,27,X,X
California,2013,28,167,1.2
District of Columbia,2013,28,X,X
Florida,2013,28,X,X
New York,2013,28,288,0
Texas,2013,28,224,0.89
New York City,2013,28,X,X
California,2013,29,147,0.68
District of Columbia,2013,29,X,X
Florida,2013,29,X,X
New York,2013,29,236,0.42
Texas,2013,29,170,1.18
New York City,2013,29,X,X
California,2013,30,136,0.74
District of Columbia,2013,30,X,X
Florida,2013,30,X,X
New York,2013,30,288,0.35
Texas,2013,30,138,1.45
New York City,2013,30,X,X
California,2013,31,168,0
District of Columbia,2013,31,X,X
Florida,2013,31,X,X
New York,2013,31,286,0
Texas,2013,31,200,2.5
New York City,2013,31,X,X
California,2013,32,184,2.72
District of Columbia,2013,32,X,X
Florida,2013,32,X,X
New York,2013,32,291,0
Texas,2013,32,196,1.02
New York City,2013,32,X,X
California,2013,33,157,0
District of Columbia,2013,33,X,X
Florida,2013,33,X,X
New York,2013,33,267,0
Texas,2013,33,193,1.55
New York City,2013,33,X,X
California,2013,34,155,0
District of Columbia,2013,34,X,X
Florida,2013,34,X,X
New York,2013,34,289,0
Texas,2013,34,178,0
New York City,2013,34,X,X
California,2013,35,194,0
District of Columbia,2013,35,X,X
Florida,2013,35,X,X
New York,2013,35,281,0.71
Texas,2013,35,262,1.91
New York City,2013,35,X,X
California,2013,36,165,0
District of Columbia,2013,36,X,X
Florida,2013,36,X,X
New York,2013,36,267,0.75
Texas,2013,36,360,0.83
New York City,2013,36,X,X
California,2013,37,196,0
District of Columbia,2013,37,X,X
Florida,2013,37,X,X
New York,2013,37,310,0.32
Texas,2013,37,366,0.82
New York City,2013,37,X,X
California,2013,38,198,0.51
District of Columbia,2013,38,X,X
Florida,2013,38,X,X
New York,2013,38,357,1.12
Texas,2013,38,454,0.88
New York City,2013,38,X,X
California,2013,39,228,0
District of Columbia,2013,39,X,X
Florida,2013,39,X,X
New York,2013,39,518,0.97
Texas,2013,39,467,0.64
New York City,2013,39,X,X
California,2013,40,256,0.39
District of Columbia,2013,40,X,X
Florida,2013,40,X,X
New York,2013,40,486,1.03
Texas,2013,40,420,1.43
New York City,2013,40,X,X
California,2013,41,334,1.2
District of Columbia,2013,41,20,0
Florida,2013,41,X,X
New York,2013,41,510,0.2
Texas,2013,41,570,1.4
New York City,2013,41,X,X
California,2013,42,335,1.19
District of Columbia,2013,42,X,X
Florida,2013,42,X,X
New York,2013,42,541,0.37
Texas,2013,42,544,2.02
New York City,2013,42,X,X
California,2013,43,290,1.03
District of Columbia,2013,43,X,X
Florida,2013,43,X,X
New York,2013,43,569,0.18
Texas,2013,43,597,2.85
New York City,2013,43,X,X
California,2013,44,358,2.79
District of Columbia,2013,44,X,X
Florida,2013,44,X,X
New York,2013,44,580,1.03
Texas,2013,44,608,2.96
New York City,2013,44,X,X
California,2013,45,354,1.98
District of Columbia,2013,45,X,X
Florida,2013,45,X,X
New York,2013,45,638,1.72
Texas,2013,45,701,6.99
New York City,2013,45,X,X
California,2013,46,364,2.47
District of Columbia,2013,46,X,X
Florida,2013,46,X,X
New York,2013,46,649,1.39
Texas,2013,46,871,9.76
New York City,2013,46,X,X
California,2013,47,389,1.8
District of Columbia,2013,47,X,X
Florida,2013,47,X,X
New York,2013,47,673,0.89
Texas,2013,47,861,9.99
New York City,2013,47,X,X
California,2013,48,321,4.67
District of Columbia,2013,48,X,X
Florida,2013,48,X,X
New York,2013,48,629,3.34
Texas,2013,48,933,12.86
New York City,2013,48,X,X
California,2013,49,379,5.8
District of Columbia,2013,49,X,X
Florida,2013,49,X,X
New York,2013,49,829,4.95
Texas,2013,49,1390,20.22
New York City,2013,49,X,X
California,2013,50,445,8.09
District of Columbia,2013,50,X,X
Florida,2013,50,X,X
New York,2013,50,843,9.49
Texas,2013,50,1695,26.49
