REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,District of Columbia,2010,49,X,3.26052,X,X,X,X,X,X,100,4,3067
States,Florida,2010,49,X,X,X,X,X,X,X,X,X,X,X
States,New York,2010,49,X,2.1629,X,X,X,X,X,X,303,103,14009
States,Texas,2010,49,X,2.40335,X,X,X,X,X,X,1165,93,48474
States,New York City,2010,49,X,2.73001,X,X,X,X,X,X,2524,41,92454
States,California,2010,50,X,3.6598,X,X,X,X,X,X,1170,128,31969
States,District of Columbia,2010,50,X,4.33125,X,X,X,X,X,X,125,4,2886
States,Florida,2010,50,X,X,X,X,X,X,X,X,X,X,X
States,New York,2010,50,X,2.68099,X,X,X,X,X,X,357,102,13316
States,Texas,2010,50,X,2.84097,X,X,X,X,X,X,1350,88,47519
States,New York City,2010,50,X,3.28095,X,X,X,X,X,X,3113,41,94881
States,California,2010,51,X,4.62077,X,X,X,X,X,X,1057,127,22875
States,District of Columbia,2010,51,X,5.76822,X,X,X,X,X,X,110,4,1907
States,Florida,2010,51,X,X,X,X,X,X,X,X,X,X,X
States,New York,2010,51,X,3.84844,X,X,X,X,X,X,388,103,10082
States,Texas,2010,51,X,3.87315,X,X,X,X,X,X,1418,81,36611
States,New York City,2010,51,X,4.26261,X,X,X,X,X,X,3819,41,89593
States,California,2010,52,X,4.6895,X,X,X,X,X,X,916,125,19533
States,District of Columbia,2010,52,X,6.84746,X,X,X,X,X,X,101,4,1475
States,Florida,2010,52,X,X,X,X,X,X,X,X,X,X,X
States,New York,2010,52,X,4.19925,X,X,X,X,X,X,349,100,8311
States,Texas,2010,52,X,3.40711,X,X,X,X,X,X,1293,81,37950
States,New York City,2010,52,X,4.39746,X,X,X,X,X,X,3625,40,82434
States,California,2011,1,X,3.56213,X,X,X,X,X,X,1190,129,33407
States,District of Columbia,2011,1,X,4.75874,X,X,X,X,X,X,143,4,3005
States,Florida,2011,1,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,1,X,2.87699,X,X,X,X,X,X,352,101,12235
States,Texas,2011,1,X,3.21248,X,X,X,X,X,X,1524,89,47440
States,New York City,2011,1,X,3.31107,X,X,X,X,X,X,3297,40,99575
States,California,2011,2,X,3.79325,X,X,X,X,X,X,1354,132,35695
States,District of Columbia,2011,2,X,4.8618,X,X,X,X,X,X,146,4,3003
States,Florida,2011,2,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,2,X,3.45107,X,X,X,X,X,X,383,101,11098
States,Texas,2011,2,X,4.05996,X,X,X,X,X,X,1950,89,48030
States,New York City,2011,2,X,3.17028,X,X,X,X,X,X,2840,38,89582
States,California,2011,3,X,4.02689,X,X,X,X,X,X,1324,130,32879
States,District of Columbia,2011,3,X,3.89466,X,X,X,X,X,X,105,4,2696
States,Florida,2011,3,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,3,X,3.07852,X,X,X,X,X,X,356,103,11564
States,Texas,2011,3,X,4.73202,X,X,X,X,X,X,2518,92,53212
States,New York City,2011,3,X,2.88202,X,X,X,X,X,X,2588,38,89798
States,California,2011,4,X,4.60501,X,X,X,X,X,X,1768,132,38393
States,District of Columbia,2011,4,X,3.92447,X,X,X,X,X,X,106,4,2701
States,Florida,2011,4,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,4,X,3.35509,X,X,X,X,X,X,437,104,13025
States,Texas,2011,4,X,5.93439,X,X,X,X,X,X,3381,97,56973
States,New York City,2011,4,X,2.66343,X,X,X,X,X,X,2302,40,86430
States,California,2011,5,X,4.33983,X,X,X,X,X,X,1747,133,40255
States,District of Columbia,2011,5,X,3.35762,X,X,X,X,X,X,106,4,3157
States,Florida,2011,5,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,5,X,4.04412,X,X,X,X,X,X,528,100,13056
States,Texas,2011,5,X,6.68052,X,X,X,X,X,X,3086,95,46194
States,New York City,2011,5,X,2.47319,X,X,X,X,X,X,2198,38,88873
States,California,2011,6,X,4.88711,X,X,X,X,X,X,1987,138,40658
States,District of Columbia,2011,6,X,3.47826,X,X,X,X,X,X,108,4,3105
States,Florida,2011,6,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,6,X,3.89805,X,X,X,X,X,X,572,96,14674
States,Texas,2011,6,X,8.12867,X,X,X,X,X,X,3280,91,40351
States,New York City,2011,6,X,2.5069,X,X,X,X,X,X,2354,39,93901
States,California,2011,7,X,5.07162,X,X,X,X,X,X,2036,136,40145
States,District of Columbia,2011,7,X,2.7957,X,X,X,X,X,X,78,3,2790
States,Florida,2011,7,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,7,X,4.03668,X,X,X,X,X,X,537,88,13303
States,Texas,2011,7,X,8.26519,X,X,X,X,X,X,4821,88,58329
States,New York City,2011,7,X,2.60075,X,X,X,X,X,X,2475,39,95165
States,California,2011,8,X,5.17402,X,X,X,X,X,X,1775,134,34306
States,District of Columbia,2011,8,X,1.64396,X,X,X,X,X,X,35,3,2129
States,Florida,2011,8,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,8,X,3.74332,X,X,X,X,X,X,420,88,11220
States,Texas,2011,8,X,6.66045,X,X,X,X,X,X,3641,90,54666
States,New York City,2011,8,X,2.61527,X,X,X,X,X,X,2397,40,91654
States,California,2011,9,X,5.00087,X,X,X,X,X,X,2007,138,40133
States,District of Columbia,2011,9,X,2.02952,X,X,X,X,X,X,55,3,2710
States,Florida,2011,9,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,9,X,2.72493,X,X,X,X,X,X,328,85,12037
States,Texas,2011,9,X,4.58565,X,X,X,X,X,X,2401,87,52359
States,New York City,2011,9,X,2.02996,X,X,X,X,X,X,1885,39,92859
States,California,2011,10,X,4.69447,X,X,X,X,X,X,1853,136,39472
States,District of Columbia,2011,10,X,2.30938,X,X,X,X,X,X,63,3,2728
States,Florida,2011,10,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,10,X,2.7215,X,X,X,X,X,X,313,85,11501
States,Texas,2011,10,X,3.68025,X,X,X,X,X,X,1784,82,48475
States,New York City,2011,10,X,1.87236,X,X,X,X,X,X,1723,36,92023
States,California,2011,11,X,4.4379,X,X,X,X,X,X,1598,134,36008
States,District of Columbia,2011,11,X,2.99166,X,X,X,X,X,X,61,2,2039
States,Florida,2011,11,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,11,X,3.02193,X,X,X,X,X,X,339,83,11218
States,Texas,2011,11,X,2.84749,X,X,X,X,X,X,1231,84,43231
States,New York City,2011,11,X,1.81647,X,X,X,X,X,X,1676,38,92267
States,California,2011,12,X,3.29703,X,X,X,X,X,X,1111,127,33697
States,District of Columbia,2011,12,X,2.89299,X,X,X,X,X,X,83,3,2869
States,Florida,2011,12,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,12,X,2.3114,X,X,X,X,X,X,254,85,10989
States,Texas,2011,12,X,3.1125,X,X,X,X,X,X,1082,82,34763
States,New York City,2011,12,X,1.78756,X,X,X,X,X,X,1605,36,89787
States,California,2011,13,X,3.2,X,X,X,X,X,X,1160,131,36250
States,District of Columbia,2011,13,X,2.37252,X,X,X,X,X,X,67,3,2824
States,Florida,2011,13,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,13,X,2.02105,X,X,X,X,X,X,242,82,11974
States,Texas,2011,13,X,2.13536,X,X,X,X,X,X,968,79,45332
States,New York City,2011,13,X,1.78081,X,X,X,X,X,X,1587,37,89117
States,California,2011,14,X,2.64683,X,X,X,X,X,X,927,121,35023
States,District of Columbia,2011,14,X,0.195185,X,X,X,X,X,X,3,2,1537
States,Florida,2011,14,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,14,X,2.22854,X,X,X,X,X,X,251,80,11263
States,Texas,2011,14,X,1.83216,X,X,X,X,X,X,827,79,45138
States,New York City,2011,14,X,1.81267,X,X,X,X,X,X,1657,36,91412
States,California,2011,15,X,2.57193,X,X,X,X,X,X,918,120,35693
States,District of Columbia,2011,15,X,0.068306,X,X,X,X,X,X,1,2,1464
States,Florida,2011,15,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,15,X,2.3652,X,X,X,X,X,X,236,78,9978
States,Texas,2011,15,X,1.67025,X,X,X,X,X,X,770,83,46101
States,New York City,2011,15,X,1.51109,X,X,X,X,X,X,1326,36,87751
States,California,2011,16,X,2.24199,X,X,X,X,X,X,736,119,32828
States,District of Columbia,2011,16,X,0.0754148,X,X,X,X,X,X,1,2,1326
States,Florida,2011,16,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,16,X,2.23407,X,X,X,X,X,X,197,77,8818
States,Texas,2011,16,X,1.66212,X,X,X,X,X,X,683,70,41092
States,New York City,2011,16,X,1.53094,X,X,X,X,X,X,1293,35,84458
States,California,2011,17,X,2.34436,X,X,X,X,X,X,784,112,33442
States,District of Columbia,2011,17,X,0,X,X,X,X,X,X,0,2,1381
States,Florida,2011,17,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,17,X,1.35642,X,X,X,X,X,X,123,72,9068
States,Texas,2011,17,X,1.4454,X,X,X,X,X,X,605,70,41857
States,New York City,2011,17,X,1.20351,X,X,X,X,X,X,1073,34,89156
States,California,2011,18,X,2.14632,X,X,X,X,X,X,734,111,34198
States,District of Columbia,2011,18,X,0,X,X,X,X,X,X,0,2,1312
States,Florida,2011,18,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,18,X,1.66576,X,X,X,X,X,X,153,78,9185
States,Texas,2011,18,X,1.62718,X,X,X,X,X,X,662,61,40684
States,New York City,2011,18,X,1.1382,X,X,X,X,X,X,1054,33,92602
States,California,2011,19,X,2.05279,X,X,X,X,X,X,672,110,32736
States,District of Columbia,2011,19,X,0,X,X,X,X,X,X,0,1,756
States,Florida,2011,19,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,19,X,1.72106,X,X,X,X,X,X,164,74,9529
States,Texas,2011,19,X,1.7883,X,X,X,X,X,X,730,68,40821
States,New York City,2011,19,X,1.19437,X,X,X,X,X,X,1170,33,97960
States,California,2011,20,X,2.13285,X,X,X,X,X,X,700,113,32820
States,District of Columbia,2011,20,X,2.1322,X,X,X,X,X,X,40,2,1876
States,Florida,2011,20,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,20,X,0.703443,X,X,X,X,X,X,57,73,8103
States,Texas,2011,20,X,1.43878,X,X,X,X,X,X,574,64,39895
States,New York City,2011,20,X,1.1343,X,X,X,X,X,X,1018,29,89747
States,California,2011,21,X,2.10667,X,X,X,X,X,X,583,94,27674
States,District of Columbia,2011,21,X,2.08451,X,X,X,X,X,X,37,2,1775
States,Florida,2011,21,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,21,X,1.56349,X,X,X,X,X,X,99,61,6332
States,Texas,2011,21,X,1.18284,X,X,X,X,X,X,459,56,38805
States,New York City,2011,21,X,1.2915,X,X,X,X,X,X,1178,29,91212
States,California,2011,22,X,2.5765,X,X,X,X,X,X,581,91,22550
States,District of Columbia,2011,22,X,2.37671,X,X,X,X,X,X,40,2,1683
States,Florida,2011,22,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,22,X,1.77814,X,X,X,X,X,X,88,62,4949
States,Texas,2011,22,X,1.47219,X,X,X,X,X,X,487,55,33080
States,New York City,2011,22,X,1.17933,X,X,X,X,X,X,1076,30,91238
States,California,2011,23,X,2.26424,X,X,X,X,X,X,588,87,25969
States,District of Columbia,2011,23,X,2.39674,X,X,X,X,X,X,47,2,1961
States,Florida,2011,23,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,23,X,0.14752,X,X,X,X,X,X,8,60,5423
States,Texas,2011,23,X,1.0381,X,X,X,X,X,X,391,51,37665
States,New York City,2011,23,X,1.23374,X,X,X,X,X,X,1104,28,89484
States,California,2011,24,X,1.84762,X,X,X,X,X,X,461,88,24951
States,District of Columbia,2011,24,X,2.72306,X,X,X,X,X,X,47,2,1726
States,Florida,2011,24,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,24,X,0.0909091,X,X,X,X,X,X,5,60,5500
States,Texas,2011,24,X,1.20398,X,X,X,X,X,X,434,51,36047
States,New York City,2011,24,X,1.20635,X,X,X,X,X,X,1070,28,88697
States,California,2011,25,X,1.73298,X,X,X,X,X,X,436,88,25159
States,District of Columbia,2011,25,X,1.94529,X,X,X,X,X,X,32,2,1645
States,Florida,2011,25,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,25,X,0.134901,X,X,X,X,X,X,7,60,5189
States,Texas,2011,25,X,1.09499,X,X,X,X,X,X,378,49,34521
States,New York City,2011,25,X,1.02117,X,X,X,X,X,X,908,27,88918
States,California,2011,26,X,1.67684,X,X,X,X,X,X,426,80,25405
States,District of Columbia,2011,26,X,2.40416,X,X,X,X,X,X,37,2,1539
States,Florida,2011,26,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,26,X,0.13616,X,X,X,X,X,X,7,60,5141
States,Texas,2011,26,X,1.44139,X,X,X,X,X,X,323,47,22409
States,New York City,2011,26,X,1.04582,X,X,X,X,X,X,899,25,85961
States,California,2011,27,X,1.68774,X,X,X,X,X,X,343,82,20323
States,District of Columbia,2011,27,X,1.82186,X,X,X,X,X,X,27,2,1482
States,Florida,2011,27,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,27,X,0.0538358,X,X,X,X,X,X,2,59,3715
States,Texas,2011,27,X,1.09916,X,X,X,X,X,X,333,47,30296
States,New York City,2011,27,X,0.99031,X,X,X,X,X,X,838,23,84620
States,California,2011,28,X,1.60432,X,X,X,X,X,X,383,84,23873
States,District of Columbia,2011,28,X,3.40909,X,X,X,X,X,X,42,1,1232
States,Florida,2011,28,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,28,X,0.0580608,X,X,X,X,X,X,3,60,5167
States,Texas,2011,28,X,1.11008,X,X,X,X,X,X,384,46,34592
States,New York City,2011,28,X,0.851914,X,X,X,X,X,X,729,23,85572
States,California,2011,29,X,1.45437,X,X,X,X,X,X,327,78,22484
States,District of Columbia,2011,29,X,1.97669,X,X,X,X,X,X,39,2,1973
States,Florida,2011,29,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,29,X,0.145591,X,X,X,X,X,X,7,60,4808
States,Texas,2011,29,X,0.794791,X,X,X,X,X,X,260,45,32713
States,New York City,2011,29,X,0.739156,X,X,X,X,X,X,629,24,85097
States,California,2011,30,X,1.35141,X,X,X,X,X,X,303,79,22421
States,District of Columbia,2011,30,X,2.01149,X,X,X,X,X,X,35,2,1740
States,Florida,2011,30,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,30,X,0.137255,X,X,X,X,X,X,7,60,5100
States,Texas,2011,30,X,0.927915,X,X,X,X,X,X,298,44,32115
States,New York City,2011,30,X,0.77875,X,X,X,X,X,X,674,25,86549
States,California,2011,31,X,0.553292,X,X,X,X,X,X,91,74,16447
States,District of Columbia,2011,31,X,1.98068,X,X,X,X,X,X,41,2,2070
States,Florida,2011,31,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,31,X,0.17105,X,X,X,X,X,X,8,59,4677
States,Texas,2011,31,X,0.947032,X,X,X,X,X,X,317,45,33473
States,New York City,2011,31,X,0.767207,X,X,X,X,X,X,630,27,82116
States,California,2011,32,X,1.35688,X,X,X,X,X,X,295,80,21741
States,District of Columbia,2011,32,X,1.97224,X,X,X,X,X,X,27,1,1369
States,Florida,2011,32,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,32,X,0.125418,X,X,X,X,X,X,6,59,4784
States,Texas,2011,32,X,0.820541,X,X,X,X,X,X,302,43,36805
States,New York City,2011,32,X,0.79368,X,X,X,X,X,X,653,27,82275
States,California,2011,33,X,1.1637,X,X,X,X,X,X,284,82,24405
States,District of Columbia,2011,33,X,2.39398,X,X,X,X,X,X,35,1,1462
States,Florida,2011,33,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,33,X,0.131926,X,X,X,X,X,X,7,59,5306
States,Texas,2011,33,X,0.965857,X,X,X,X,X,X,372,45,38515
States,New York City,2011,33,X,0.796782,X,X,X,X,X,X,620,26,77813
States,California,2011,34,X,1.34833,X,X,X,X,X,X,350,83,25958
States,District of Columbia,2011,34,X,2.99927,X,X,X,X,X,X,41,1,1367
States,Florida,2011,34,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,34,X,0.0888099,X,X,X,X,X,X,6,59,6756
States,Texas,2011,34,X,1.01165,X,X,X,X,X,X,388,45,38353
States,New York City,2011,34,X,0.85468,X,X,X,X,X,X,693,26,81083
States,California,2011,35,X,1.47857,X,X,X,X,X,X,376,79,25430
States,District of Columbia,2011,35,X,2.41935,X,X,X,X,X,X,33,1,1364
States,Florida,2011,35,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,35,X,0.157159,X,X,X,X,X,X,10,51,6363
States,Texas,2011,35,X,1.43408,X,X,X,X,X,X,550,47,38352
States,New York City,2011,35,X,0.794999,X,X,X,X,X,X,641,27,80629
States,California,2011,36,X,1.60215,X,X,X,X,X,X,322,77,20098
States,District of Columbia,2011,36,X,4.17007,X,X,X,X,X,X,51,1,1223
States,Florida,2011,36,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,36,X,0.152759,X,X,X,X,X,X,8,51,5237
States,Texas,2011,36,X,1.72981,X,X,X,X,X,X,557,44,32200
States,New York City,2011,36,X,0.797847,X,X,X,X,X,X,670,27,83976
States,California,2011,37,X,1.74891,X,X,X,X,X,X,420,76,24015
States,District of Columbia,2011,37,X,4.24528,X,X,X,X,X,X,72,1,1696
States,Florida,2011,37,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,37,X,0.127805,X,X,X,X,X,X,9,51,7042
States,Texas,2011,37,X,1.65811,X,X,X,X,X,X,591,44,35643
States,New York City,2011,37,X,0.881381,X,X,X,X,X,X,768,29,87136
States,California,2011,38,X,1.75994,X,X,X,X,X,X,445,74,25285
States,District of Columbia,2011,38,X,5.13532,X,X,X,X,X,X,74,1,1441
States,Florida,2011,38,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,38,X,0.282595,X,X,X,X,X,X,22,52,7785
States,Texas,2011,38,X,1.60235,X,X,X,X,X,X,568,42,35448
States,New York City,2011,38,X,0.837761,X,X,X,X,X,X,749,27,89405
States,California,2011,39,X,1.84745,X,X,X,X,X,X,474,73,25657
States,District of Columbia,2011,39,X,4.66228,X,X,X,X,X,X,78,1,1673
States,Florida,2011,39,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,39,X,0.323494,X,X,X,X,X,X,24,54,7419
States,Texas,2011,39,X,1.4147,X,X,X,X,X,X,510,45,36050
States,New York City,2011,39,X,1.10942,X,X,X,X,X,X,1023,26,92210
States,California,2011,40,X,1.80295,X,X,X,X,X,X,568,116,31504
States,District of Columbia,2011,40,X,3.87097,X,X,X,X,X,X,96,3,2480
States,Florida,2011,40,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,40,X,0.532345,X,X,X,X,X,X,79,108,14840
States,Texas,2011,40,X,1.86712,X,X,X,X,X,X,772,71,41347
States,New York City,2011,40,X,1.50103,X,X,X,X,X,X,1544,98,102863
States,California,2011,41,X,2.06534,X,X,X,X,X,X,703,122,34038
States,District of Columbia,2011,41,X,4.13112,X,X,X,X,X,X,92,3,2227
States,Florida,2011,41,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,41,X,0.553468,X,X,X,X,X,X,81,107,14635
States,Texas,2011,41,X,1.67872,X,X,X,X,X,X,692,70,41222
States,New York City,2011,41,X,1.70548,X,X,X,X,X,X,1743,97,102200
States,California,2011,42,X,2.38294,X,X,X,X,X,X,801,116,33614
States,District of Columbia,2011,42,X,4.86462,X,X,X,X,X,X,106,3,2179
States,Florida,2011,42,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,42,X,0.440685,X,X,X,X,X,X,62,101,14069
States,Texas,2011,42,X,2.03903,X,X,X,X,X,X,792,73,38842
States,New York City,2011,42,X,1.69853,X,X,X,X,X,X,1703,96,100263
States,California,2011,43,X,2.29128,X,X,X,X,X,X,797,118,34784
States,District of Columbia,2011,43,X,4.17001,X,X,X,X,X,X,104,3,2494
States,Florida,2011,43,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,43,X,0.41135,X,X,X,X,X,X,59,98,14343
States,Texas,2011,43,X,2.02721,X,X,X,X,X,X,833,71,41091
States,New York City,2011,43,X,1.74476,X,X,X,X,X,X,1718,96,98466
States,California,2011,44,X,2.48358,X,X,X,X,X,X,866,125,34869
States,District of Columbia,2011,44,X,3.91914,X,X,X,X,X,X,95,3,2424
States,Florida,2011,44,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,44,X,0.527118,X,X,X,X,X,X,83,109,15746
States,Texas,2011,44,X,1.87592,X,X,X,X,X,X,768,71,40940
States,New York City,2011,44,X,2.07693,X,X,X,X,X,X,2080,93,100148
States,California,2011,45,X,2.1744,X,X,X,X,X,X,784,127,36056
States,District of Columbia,2011,45,X,5.40657,X,X,X,X,X,X,125,3,2312
States,Florida,2011,45,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,45,X,0.399433,X,X,X,X,X,X,62,109,15522
States,Texas,2011,45,X,2.08825,X,X,X,X,X,X,876,72,41949
States,New York City,2011,45,X,2.0803,X,X,X,X,X,X,2131,93,102437
States,California,2011,46,X,2.6274,X,X,X,X,X,X,992,123,37756
States,District of Columbia,2011,46,X,5.67207,X,X,X,X,X,X,119,2,2098
States,Florida,2011,46,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,46,X,0.443537,X,X,X,X,X,X,63,99,14204
States,Texas,2011,46,X,2.17252,X,X,X,X,X,X,915,68,42117
States,New York City,2011,46,X,2.08287,X,X,X,X,X,X,2156,93,103511
States,California,2011,47,X,2.51216,X,X,X,X,X,X,594,125,23645
States,District of Columbia,2011,47,X,6.2333,X,X,X,X,X,X,70,2,1123
States,Florida,2011,47,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,47,X,0.36716,X,X,X,X,X,X,36,99,9805
States,Texas,2011,47,X,2.21466,X,X,X,X,X,X,722,70,32601
States,New York City,2011,47,X,2.4584,X,X,X,X,X,X,2216,93,90140
States,California,2011,48,X,1.6858,X,X,X,X,X,X,511,125,30312
States,District of Columbia,2011,48,X,4.62874,X,X,X,X,X,X,96,2,2074
States,Florida,2011,48,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,48,X,0.61654,X,X,X,X,X,X,87,97,14111
States,Texas,2011,48,X,2.01649,X,X,X,X,X,X,802,67,39772
States,New York City,2011,48,X,2.4683,X,X,X,X,X,X,2517,89,101973
States,California,2011,49,X,2.7037,X,X,X,X,X,X,883,128,32659
States,District of Columbia,2011,49,X,5.20887,X,X,X,X,X,X,101,2,1939
States,Florida,2011,49,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,49,X,0.696024,X,X,X,X,X,X,101,100,14511
States,Texas,2011,49,X,1.89337,X,X,X,X,X,X,608,65,32112
States,New York City,2011,49,X,2.51266,X,X,X,X,X,X,2586,96,102919
States,California,2011,50,X,3.02135,X,X,X,X,X,X,951,127,31476
States,District of Columbia,2011,50,X,4.59471,X,X,X,X,X,X,106,2,2307
States,Florida,2011,50,X,X,X,X,X,X,X,X,X,X,X
States,New York,2011,50,X,0.58086,X,X,X,X,X,X,82,101,14117
